航班,始发地,目的地,经停,飞机型号,到达状态,到达时间,航站楼,状态
TV986R TV9868,成都,拉萨,,ZZZZ,计划,02:00,T2,取消
TV9868,成都,拉萨,,ZZZZ,计划,02:00,T2,取消
CA5023 OZ324,成都,首尔仁川,,A321,已于,03:19,T1,到下站
OZ324,成都,首尔仁川,,A321,已于,03:19,T1,到下站
QR873,成都,多哈,,A332,已于,08:53,T1,起飞
OX633,成都,曼谷廊曼,,B763,已于,04:47,T1,起飞
CA3970 TV9848,成都,拉萨,,A319,计划,04:00,T2,取消
TV9848,成都,拉萨,,A319,计划,04:00,T2,取消
CA3948 TV9848,成都,拉萨,,A319,计划,04:00,T2,取消
OX683,成都,普吉,,B733,已于,05:51,T1,起飞
VN479,成都,芽庄金兰机场,,A321,已于,06:18,T1,到下站
CX3261,成都,香港,,B744,已于,08:37,T2,起飞
9C8888,成都,上海虹桥,,A320,已于,07:48,T2,到下站
CA4535A CA453U,成都,上海浦东,,A321,已于,12:26,T2,到下站
CA459Y,成都,上海浦东,,A320,已于,11:35,T2,到下站
TV984R,成都,拉萨,,A319,已于,08:18,T2,到下站
CA453U,成都,上海浦东,,A321,已于,12:26,T2,到下站
